AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_026497	53.0	8.00774056608	52.0	12.8964467652
NM_026498	108.0	35.6704360967	94.0	56.2178641943
NM_026499	228.0	22.1495591944	196.0	66.1949519824
NM_021448	117.0	14.4512801194	116.0	16.0096699997
NM_026329	113.0	44.8464107348	104.0	69.0295358646
NM_001272024	13.0	1.08171283556	9.0	1.07204543709
NM_001171010	0.0	-	0.0	-
NM_199143	51.0	6.73129525789	35.0	16.8158126674
NM_012030	58.0	10.3954568989	47.0	15.1598734906
NM_012033	0.0	-	0.0	-
NM_012032	1353.0	126.174001736	1237.0	300.300652638
NM_001110148	247.0	26.9862136521	197.0	50.4935527945
NM_012034	0.0	-	0.0	-
NM_199145	17.0	1.57214144278	4.0	2.90703741592
NM_001313997	0.0	-	0.0	-
NM_012039	83.0	9.87298567135	78.0	11.4827977929
NM_012038	0.0	-	0.0	-
NM_199149	74.0	8.58021242012	49.0	7.89140381277
NM_199148	0.0	-	0.0	-
NM_001110140	3449.0	263.910503693	3102.0	340.857787115
NM_001110142	172.0	11.7189945829	167.0	19.7489931144
NM_008429	0.0	-	0.0	-
NM_008428	0.0	-	0.0	-
NM_001001882	37.0	2.8713461478	33.0	3.13167212533
NM_001291058	118.0	32.5975173911	115.0	40.3829280177
NM_026516	0.0	-	0.0	-
NM_001291054	32.0	3.17496713167	22.0	3.02903538901
NM_001033399	7.0	0.362396684175	2.0	0.587355385824
NM_001291056	0.0	-	0.0	-
NM_001195006	1.0	0.116144279766	1.0	0.325291722178
NM_008424	0.0	-	0.0	-
NM_008427	1.0	0.16007617741	1.0	0.257461833921
NM_008426	0.0	-	0.0	-
NM_013924	24.0	1.85538923045	22.0	9.35635375715
NM_013925	4.0	0.436193648352	4.0	0.918623823429
NM_013926	32.0	7.91348591612	30.0	9.4899155313
NM_013927	0.0	-	0.0	-
NM_013920	0.0	-	0.0	-
NM_177568	0.0	-	0.0	-
NM_013922	0.0	-	0.0	-
NM_013923	71.0	5.71991564518	56.0	7.6460960333
NM_080289	258.0	69.3808391232	244.0	85.1611751204
NM_010326	0.0	-	0.0	-
NM_177567	0.0	-	0.0	-
NM_010324	154.0	25.7902410321	143.0	39.6628039705
NM_010323	0.0	-	0.0	-
NM_013929	274.0	120.701531787	191.0	124.61445332
NM_010321	5.0	1.6690113071	5.0	1.95285676749
NM_177562	135.0	7.44800305271	83.0	9.19066747163
NM_026147	233.0	23.2921522264	5.0	4.78449908036
NM_026144	186.0	20.6025761042	140.0	48.1314877545
NM_026142	0.0	-	0.0	-
NM_026140	41.0	2.16357862825	39.0	8.54635713591
NM_173449	0.0	-	0.0	-
NM_173447	0.0	-	0.0	-
NM_173444	88.0	2.50368237307	70.0	2.9891998717
NM_173445	8.0	1.17772285055	7.0	2.12644403572
NM_173442	0.0	-	0.0	-
NM_173443	77.0	2.72081884311	73.0	6.86522718165
NM_173440	302.0	22.970666373	245.0	24.210718238
NM_173441	65.0	2.32686851253	52.0	7.78494765618
NM_001044308	0.0	-	0.0	-
NM_020576	0.0	-	0.0	-
NM_001001884	6.0	0.425814504062	3.0	0.26018424002
NM_001278258	0.0	-	0.0	-
NM_008762	0.0	-	0.0	-
NM_008763	0.0	-	0.0	-
NM_008760	9.0	1.22061236381	9.0	3.45636053966
NM_146841	0.0	-	0.0	-
NM_008766	0.0	-	0.0	-
NM_178279	49.0	5.94356082941	40.0	8.90139363788
NM_008764	1.0	0.122244121287	1.0	0.285641736141
NM_008765	77.0	7.44882417903	41.0	8.15935371764
NM_008768	939.0	415.23801518	872.0	481.394215163
NM_178277	50.0	3.3136199864	27.0	2.40897855794
NM_001001979	5.0	0.229228063472	5.0	0.50012185509
NM_029671	0.0	-	0.0	-
NM_029673	2130.0	265.755443305	1892.0	286.615480529
NM_001252472	0.0	-	0.0	-
NM_001199956	0.0	-	0.0	-
NM_001253847	22.0	1.89135177023	21.0	4.90119417988
NM_029679	0.0	-	0.0	-
NM_001001885	3.0	0.261964968659	2.0	0.48967154767
NM_001005343	1.0	0.122461405541	1.0	0.236758717379
NM_027302	0.0	-	0.0	-
NM_028056	44.0	7.07293191161	44.0	11.5616270683
NM_001082543	0.0	-	0.0	-
NM_027650	0.0	-	0.0	-
NM_028057	1167.0	247.240314101	1083.0	406.400980708
NM_145489	0.0	-	0.0	-
NM_001195033	0.0	-	0.0	-
NM_025829	44.0	6.03155315821	43.0	23.7384762064
NM_025366	93.0	53.8437072977	89.0	85.8797481988
NM_012025	263.0	29.5689538465	244.0	44.5437625033
NM_025364	1.0	0.324372819008	1.0	0.544208426202
NM_025363	339.0	264.807377672	334.0	336.425830072
NM_025362	42.0	12.4726941543	42.0	21.9217048773
NM_025360	456.0	118.644013449	413.0	213.621418399
NM_001294269	314.0	92.688907634	148.0	97.111661334
NM_025369	10.0	4.8112281255	0.0	-
NM_001004061	0.0	-	0.0	-
NM_177388	172.0	13.509173874	155.0	31.0075550156
NM_001348260	9.0	1.26390354834	9.0	4.32406611447
NM_001199272	25.0	1.99492664921	21.0	5.19695589763
NM_001199275	62.0	7.12883975125	52.0	9.21459082144
NM_001199274	83.0	13.9270172938	79.0	27.9981798036
NM_010250	0.0	-	0.0	-
NM_013932	0.0	-	0.0	-
NM_001164190	61.0	6.02451833743	60.0	11.4067527744
NM_133797	9.0	1.15944480332	3.0	1.13317083482
NM_133794	267.0	36.7761736589	265.0	39.2131625659
NM_133795	20.0	4.8112281255	13.0	5.09475669991
NM_133792	594.0	75.6184244896	523.0	145.411700864
NM_010318	59.0	37.989816997	53.0	88.201200438
NM_177387	31.0	2.49276422674	12.0	3.37729346849
NM_177386	0.0	-	0.0	-
NM_029415	1.0	0.162186409504	0.0	-
NM_029416	0.0	-	0.0	-
NM_029410	18.0	5.76810307735	16.0	7.17674862054
NM_029413	100.0	7.81319877038	76.0	9.8720886002
NM_029412	0.0	-	0.0	-
NM_009856	3.0	0.482695843698	2.0	1.16576627339
NM_029419	1.0	0.144015022486	1.0	0.27405245329
NM_001085419	0.0	-	0.0	-
NM_134131	47.0	4.80722829215	47.0	25.3376289326
NM_028236	0.0	-	0.0	-
NM_183315	3.0	0.84294600437	3.0	4.1504088408
NM_028234	64.0	2.32048960765	46.0	4.28740826682
NM_028235	9.0	1.18651182705	7.0	1.20871555714
NM_028232	11.0	1.04996488547	10.0	2.21675633067
NM_028233	1324.0	98.7008717448	1285.0	105.925306273
NM_028230	1197.0	178.8925244	1110.0	252.394169309
NM_028231	0.0	-	0.0	-
NM_001114334	37.0	2.36341656779	20.0	4.36608281098
NM_028238	0.0	-	0.0	-
NM_001080118	52.0	2.74826090164	39.0	2.84155529138
NM_001243039	0.0	-	0.0	-
NM_001310428	0.0	-	0.0	-
NM_172713	92.0	6.31325137616	73.0	12.1837825419
NM_183316	13.0	5.88474525522	13.0	14.4928515832
NM_172715	1995.0	238.875720509	1559.0	407.783183578
NM_011836	0.0	-	0.0	-
NM_001011535	0.0	-	0.0	-
NM_172716	21.0	1.93893396127	4.0	1.89798310626
NM_172719	760.0	30.6351263372	758.0	32.5747033196
NM_172718	0.0	-	0.0	-
NM_011837	2.0	0.545933334051	0.0	-
