AccNum	txReads	txRPKM	cdReads	cdRPKM
NM_183287	0.0	-	0.0	-
NM_133345	86.0	16.011728706	51.0	20.5541426356
NM_027873	349.0	35.3768181655	127.0	37.8183308643
NM_027872	69.0	8.5803320121	43.0	9.36043576195
NM_027875	117.0	10.7128209067	96.0	13.0539939838
NM_027874	277.0	22.2440632012	102.0	24.9657634939
NM_027877	74.0	11.1782601518	68.0	12.3622741939
NM_001164524	1.0	0.157292443182	1.0	0.258640666882
NM_027879	21.0	1.87825682153	16.0	2.768347
NM_027878	873.0	93.6314227812	413.0	173.412615162
NM_009945	742.0	296.266366443	311.0	371.543476087
NM_145986	0.0	-	0.0	-
NM_009361	58.0	6.78901582525	26.0	6.3483383151
NM_001301368	707.0	104.43955816	183.0	108.665810126
NM_145549	1.0	0.165507276663	1.0	0.189344488208
NM_001291166	1.0	0.0906254473963	1.0	0.133625271305
NM_198663	0.0	-	0.0	-
NM_028597	94.0	12.1665637178	69.0	19.6713861755
NM_001301367	123.0	13.644105217	72.0	19.4754330728
NM_001013411	0.0	-	0.0	-
NM_146623	0.0	-	0.0	-
NM_173382	26.0	1.81150223155	12.0	1.31753932714
NM_001162428	0.0	-	0.0	-
NM_146116	118.0	22.2030080485	84.0	18.9004856839
NM_146117	0.0	-	0.0	-
NM_026642	10.0	0.728424234819	8.0	1.79601930649
NM_146897	0.0	-	0.0	-
NM_001033162	0.0	-	0.0	-
NM_145570	0.0	-	0.0	-
NM_001033434	0.0	-	0.0	-
NM_010046	5281.0	822.071305656	4145.0	833.590057955
NM_001033436	4.0	0.469119962993	4.0	0.542446371623
NM_001033437	0.0	-	0.0	-
NM_022331	1582.0	254.555499064	1090.0	279.04160928
NM_001033431	0.0	-	0.0	-
NM_008530	0.0	-	0.0	-
NM_001033433	0.0	-	0.0	-
NM_001033382	0.0	-	0.0	-
NM_177182	0.0	-	0.0	-
NM_001033380	275.0	12.0616080229	155.0	29.019868855
NM_001033438	0.0	-	0.0	-
NM_177186	231.0	11.0528189882	106.0	26.2004269643
NM_177185	58.0	1.19035712745	23.0	1.75521620628
NM_177184	779.0	20.3526838965	769.0	20.5844580045
NM_001293652	129.0	16.3109819304	25.0	12.0616080229
NM_001302472	2.0	0.339411202086	2.0	0.529565059368
NM_001191051	38.0	3.45520808744	13.0	4.43735892433
NM_053169	15.0	1.15910319398	11.0	1.98182830566
NM_177461	492.0	22.127338846	197.0	22.697425963
NM_053164	188.0	46.6602262284	117.0	73.3828232111
NM_053165	0.0	-	0.0	-
NM_001082536	60.0	4.13730283441	37.0	3.99252195028
NM_001082531	0.0	-	0.0	-
NM_053161	27.0	11.1350121627	14.0	9.42910135908
NM_053162	336.0	156.587305542	228.0	246.025676936
NM_053163	190.0	63.4157094098	105.0	102.301172512
NM_011250	150.0	9.16927115484	117.0	10.335608903
NM_146621	0.0	-	0.0	-
NM_009143	218.0	51.7591376204	176.0	80.2820630001
NM_011253	0.0	-	0.0	-
NM_011254	0.0	-	0.0	-
NM_001011799	0.0	-	0.0	-
NM_011256	551.0	23.8577322989	346.0	27.0842373226
NM_011259	0.0	-	0.0	-
NM_001113415	64.0	3.83589391201	34.0	5.71522224038
NM_001278041	70.0	6.30770474036	65.0	6.71773184219
NM_001134692	80.0	37.5735084244	22.0	58.0988613817
NM_139064	24.0	3.67517073754	20.0	4.65673219258
NM_198664	28.0	1.95809909756	25.0	2.71810885022
NM_033270	20.0	2.47784145062	11.0	4.04351049909
NM_172117	448.0	53.9495463361	267.0	58.7590757156
NM_172116	162.0	32.5793943037	103.0	46.7706588745
NM_172118	3.0	0.833954948062	3.0	1.74021812862
NM_013795	66.0	38.7325742545	0.0	-
NM_001159730	0.0	-	0.0	-
NM_139063	20.0	3.40370532787	12.0	6.47435991937
NM_001111121	119.0	6.50079307092	42.0	8.96767725002
NM_177769	0.0	-	0.0	-
NM_177767	38.0	2.1540564823	20.0	3.67591863554
NM_177766	1696.0	72.6410471875	815.0	199.481345564
NM_001080971	2.0	0.300456822605	2.0	0.444037959072
NM_177764	0.0	-	0.0	-
NM_177763	0.0	-	0.0	-
NM_181278	117.0	7.57174444138	47.0	24.9554031813
NM_013792	648.0	78.7587456965	610.0	82.7230716724
NM_007770	1.0	0.103598670423	1.0	0.334508595834
NM_007771	134.0	13.3759073798	81.0	13.3913655334
NM_001101506	5.0	1.09237204735	2.0	1.15347791667
NM_001037098	122.0	5.32845550886	61.0	10.428462187
NM_023322	33.0	5.01509606071	25.0	4.80615798612
NM_001289617	73.0	6.46578839255	63.0	11.1897565686
NM_001101503	0.0	-	0.0	-
NM_022879	0.0	-	0.0	-
NM_001101501	0.0	-	0.0	-
NM_001285936	0.0	-	0.0	-
NM_001311110	46.0	2.79206771523	16.0	1.40845724562
NM_172805	0.0	-	0.0	-
NM_172804	0.0	-	0.0	-
NM_198960	0.0	-	0.0	-
NM_001306205	286.0	49.7127670714	231.0	56.8172688512
NM_172801	0.0	-	0.0	-
